,text,color,size,position,time,sn,userid
107,好可愛,#FFFFFF,1,0,130,42719189,opendassh
108,8,#FFFFFF,1,0,133,44529558,st5109185
109,兄弟,#FFFFFF,1,0,135,37905019,Liny37723
110,買了會員看不了廣告呢,#FF0026,1,2,135,39669980,skfq99492p
111,嗚啦 嗚啦 嗚啦,#FFFFFF,2,2,135,40035961,egggg0720
112,可愛！,#FFFFFF,1,0,135,42832226,wwww98347
113,嘻嘻,#FF02D3,2,0,135,44777412,n2mdgjrmnx
114,巴哈我大哥,#FFFFFF,1,0,140,40226966,rc20081109
115,我可以重複N次,#FFFFFF,1,0,144,42655630,Euphie617
116,兄弟，借操一下,#FFFFFF,1,0,145,37886110,hifuminagisa
117,好可愛,#FF9496,2,0,148,42344679,QAQ108017
118,嗚啦,#FFFFFF,1,0,151,41817353,cjad20010827
119,好可愛,#FF9496,1,0,152,42649121,paz76823361
120,兄弟轉個身,#FFFFFF,2,0,155,38197027,Dd090527
121,發現才1分多鐘卻要看30秒廣告，直接買付費:D,#FF9496,2,2,155,41472799,koorishin
122,烏,#FFFFFF,1,0,155,43754902,s1080025
123,好可愛哦😍🥰🥰,#FF0026,1,0,155,44501388,aliny54689
124,體感一分鐘,#FFFFFF,1,0,159,40792176,aaazxc348481
125,泰可愛辣!,#FF0026,2,0,160,43489018,tariuang
126,強烈建議買會員！！！,#FDE53D,1,0,160,43991692,sy09871601
127,兄弟你好香,#FFFFFF,1,0,162,39629298,Shsjwi
128,小可愛登場！,#FF0026,2,0,165,41104654,zzx0914
129,超可愛///////////////////,#FFFFFF,1,0,168,37088925,akarimez
130,30秒的廣告看一分半的小八.,#FFFFFF,1,0,172,37090126,murphyhu0219
131,蛤,#FFFFFF,1,0,173,42646453,eric200571
132,2024/11/28 二刷 求更新,#FFFFFF,0,0,175,42913488,aids123die
133,你好可愛啊🥹,#FFFFFF,1,0,176,39508940,amandalin607
134,好可哀,#FFFFFF,1,0,176,42513019,wugu10416
135,兄弟 吃統一布丁囉,#FFFFFF,1,0,177,39288033,Nakobalala
136,開頭就玩食物,#FFFFFF,1,0,179,43844028,egriawei
137,超可愛,#FFFFFF,1,0,179,44179850,g840483938
138,好好看啊！,#FFFFFF,1,0,184,44456224,nxjhcfynvq
139,啊啊啊超可愛 我沒了///,#FFFFFF,1,0,185,37106243,blight0710
140,聽說辱華了 來看看是什麼神作,#FFFFFF,1,0,185,38868903,IamBongu0626
141,兄弟,#FFFFFF,1,0,186,37249637,designer22
142,簽,#FFFFFF,1,0,188,42532155,rosa0812
143,好萌喔,#FFFFFF,1,0,191,43650216,annana566
144,兄弟....,#FFFFFF,1,0,192,40389980,llennskadi
145,呀!!!!,#FFFFFF,1,0,193,41946183,Onandoff
146,兄弟…,#FFFFFF,1,0,195,37292990,enjoyuting
147,為了看 兄弟，你好香 買會員,#FFFFFF,1,0,197,41802021,a24060535
148,兄弟 轉身 有急事,#FFFFFF,1,0,198,38904909,Isjskana
149,我的吉伊宝宝！！,#FFFFFF,1,0,200,39826739,IIJiYi107
150,好可愛！！！！,#FF0026,2,0,200,43658861,qwq1204
151,這三小,#FFFFFF,1,0,201,41353244,BHSN00002kht
152,兄弟 你好有味道,#FFFFFF,1,0,201,41924853,hhhh8514
153,吉哇,#FF0026,1,0,208,41386750,redskycity
154,兄弟有急事,#FFFFFF,1,0,210,38771376,Steven1226
155,烏薩奇我寶貝,#FFFFFF,1,0,210,38905005,n1073219
156,兄弟你好香,#FF0026,2,2,210,41495379,n5gh98vz4n
157,這三小,#FF0026,2,1,215,38403282,smoonzz
158,好可愛啊天,#FFFFFF,1,0,215,42318674,wxiaomei945
159,布丁兔兔！！！,#FDE53D,1,0,220,38517823,linliyan6008
160,黏黏黏,#FFFFFF,1,0,220,40271970,Bananaaa
161,啊啊啊可愛,#FF02D3,1,0,220,42925458,angel1joanne
162,我第一次看,#FFFFFF,1,0,221,41164994,tsubakilee
163,體感一分鐘WWW,#FFFFFF,1,0,221,41597794,nico7214034
164,好可愛喔,#FFFFFF,1,0,223,37089664,torappub70
165,看巴哈那麼久 竟然是因為吉伊卡哇課金,#FFFFFF,1,0,225,42426973,Roubert
166,第一次在巴哈課金就為了吉伊卡哇,#FFFFFF,1,0,225,43478064,ch0922
167,池沼布丁,#FF9625,2,1,235,37097163,w3616327
168,我是新粉🤡🤡,#FFFFFF,1,0,235,42318680,wxiaomei945
169,好可愛😍😍,#FFFFFF,1,0,236,41012224,kaito0621
170,幹我跟我同學ww,#FFFFFF,1,0,240,37884243,c107049
171,首刷 機率下 2024/9/1,#FFFFFF,1,0,240,41578076,S1104930830
172,兄弟，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,246,42323685,gndr1798
173,兄弟操我,#00FF91,2,0,247,37385442,iowabb61
174,卡哇,#FFFFFF,1,0,249,37090109,kodgreen59
175,烏拉,#FFFFFF,1,0,250,37088965,hettt5655
176,兄弟 你好香,#FFFFFF,2,0,252,37590354,C8763jason
177,最愛兔哥烏薩奇,#FFFFFF,1,0,252,41204719,jessie78327
178,晴空塔有看到這段,#FFFFFF,1,0,258,37105528,mu317666
179,"有人在嗎嘉義

有人在嗎+1",#FFFFFF,1,0,259,41165004,tsubakilee
180,我就來看看他在紅什麼,#FFFFFF,1,0,260,41587998,Yan705
181,為什麼會有HOMO發言啊！,#FFFFFF,1,0,262,38747311,HeyMeow
182,兄弟你好香,#FFFFFF,1,0,265,37200055,BHSN00005180
183,互舔就是另外的分類了,#FFFFFF,1,0,267,39361498,TAITAN
184,可愛,#00C3FC,1,0,267,40894454,kekerry75
185,2024/8/26一刷,#FFFFFF,1,0,267,41455922,cupid005
186,兄弟你好香XD,#FFFFFF,1,0,275,42218642,Jing54017
187,兄弟,#FFFFFF,1,0,284,38507836,badkin
188,為了吉伊我脫離當免費仔,#FF0026,2,2,285,41698846,Lancelot1204
189,啊啊啊啊啊好可愛,#FF0026,1,0,285,43658863,qwq1204
190,好可愛～^ _ ^😍,#FFFFFF,1,0,290,44530212,a8962189
191,好可愛🫠,#FFFFFF,1,0,291,39717927,Sonnun
192,咦呀！！！！！,#FFFFFF,1,0,294,39156757,jnini107040
193,在的說話,#FFFFFF,1,0,295,43843903,Mia1020214
194,啊～～～,#FFFFFF,1,0,296,43574718,kevinerrt098
195,^^,#FFFFFF,1,0,298,43535454,dozwang
196,???,#FFFFFF,1,0,299,39987834,karta2194512
197,小寶寶們ˊ///ˋ,#FFFFFF,1,0,303,37090112,kodgreen59
198,這隻黃色的好欠打,#FFFFFF,1,0,307,39310541,a631003
199,最愛兔哥烏薩奇>///<,#FFFFFF,1,0,307,41204730,jessie78327
200,嗅嗅,#FFFFFF,1,0,309,37846552,brianbon
201,海嗨嗨嗨嗨👏👏👏👏👏,#00C3FC,1,0,315,42633677,yzf8rvkgnk
202,兔子超ㄐ歪,#FFFFFF,1,0,316,37182596,rockman73
203,烏薩奇寶貝,#FFFFFF,1,0,323,44529406,st5109185
204,好可愛,#FFFFFF,1,0,324,38508089,Furabbit
205,感覺超黏踢踢的,#FFFFFF,1,0,325,38219587,keroro9987
206,在幹嘛,#00FF91,1,0,325,41977362,Alice5555
207,吉八,#FFFFFF,2,0,325,43824367,NOSAJJASON
208,看起來很好吃,#FFFFFF,1,0,329,43200774,amy20130605
209,呀～～～,#FFFFFF,1,0,332,39926073,kg147369
210,兄弟 你好香阿,#FFFFFF,1,0,332,42273064,q8882020
211,好可愛,#FFFFFF,1,0,334,42109022,alerub
212,可惡 我居然為了吉伊卡哇課金,#FF0026,1,2,335,41989040,fly410149
213,最喜歡烏薩奇+1～～～,#FFFFFF,1,0,335,44131268,tina117
214,兄弟 你好甜,#FFFFFF,1,0,340,37912085,thffhrherh5
215,想吃鬆餅,#FFFFFF,1,0,342,38798408,shadow121010
216,廣告比影片久XD,#FFFFFF,1,0,342,43809188,pikachiuweii
217,???,#FFFFFF,1,0,344,40801113,Angela213120
218,好可愛喔,#FFFFFF,1,0,347,43024888,j1070526
219,兄弟你好香,#FF0026,1,0,350,38700882,milkppt
220,我12了,#FF0026,1,0,355,44035485,Dhkwk
221,好可愛~,#FFFFFF,1,0,356,38496581,vicky220
222,兔哥,#FFFFFF,1,0,356,43754904,s1080025
223,影片90秒 廣告30秒,#FFFFFF,1,0,356,44744709,a4391030
224,???,#FFFFFF,1,0,359,41709872,joe71406
225,兄弟你好香,#FFFFFF,1,0,359,44049543,A524gino
226,蛤?,#FFFFFF,1,0,360,41701450,gl0507
227,好讚,#FFFFFF,1,0,364,37285672,k122662479
228,我也要吃布丁,#FFFFFF,1,0,365,43908582,Anima0415
229,y,#FFFFFF,1,0,366,42795395,haps108240
230,嗨,#FFFFFF,1,0,370,41337806,CATDOG2333
231,咿咿咿咿咿咿咿咿咿咿咿咿咿咿,#FFFFFF,1,0,372,43519307,joy613536
232,過半警告,#FFFFFF,1,0,376,37359970,robin7331899
233,感謝巴哈上動畫,#FFFFFF,1,0,378,37257322,mo0209
234,嗨,#FFFFFF,1,0,380,42678961,s109231
235,好可愛,#FFFFFF,1,0,380,43032398,Katie2013
236,喔我要不行惹,#FFFFFF,1,0,382,43650219,annana566
237,課爆!!!!!!!!!!!!!!!!!!!!!!,#FFFFFF,1,0,386,42317242,lois19920926
238,可愛,#FF9625,2,2,387,42532160,rosa0812
239,&2&8/$:7.!/,#FFFFFF,1,0,390,41438770,s0714eddie
240,會有螞蟻XD,#0036FA,1,0,392,39963278,haru15
241,我竟然有反應欸！！！,#FF0026,1,1,395,44035489,Dhkwk
242,口愛,#FFFFFF,1,0,397,38841610,roucichiu
243,我的屁股⬇️,#FFFFFF,2,1,398,37740788,Luna1023
244,好好吃,#FFFFFF,1,0,400,43023482,cxj20130622
245,哇,#FFFFFF,1,0,400,44529562,st5109185
246,看到壞鬆餅直接笑出來,#FFFFFF,1,0,405,41223436,kbfr
247,好可愛,#FFFFFF,1,0,405,42949205,ye978799
248,碰！,#FDE53D,2,2,408,37209651,seeso
249,可愛,#FFFFFF,1,0,410,41576686,Yuooo1221
250,你這個壞鬆餅,#FF0026,1,2,415,40285661,wegt458
251,碰,#FFFFFF,1,0,416,42220545,qOuOl
252,怎麼到處都有homo阿 (惱,#FFFFFF,1,0,428,37933031,udte0503
253,寶寶!,#FFFFFF,1,0,431,42192993,peter880421
254,兄弟…,#FFFFFF,1,0,438,39010683,yukipedia
255,過半警告(也太快xd),#FFFFFF,1,0,440,44467853,Meatbun1204
256,<(˙▽˙<),#FF9496,2,0,442,37651666,pinky122116
257,好可愛,#FF0026,1,1,442,42577275,ryanwu0615
258,碰,#00FF91,1,0,444,41946188,Onandoff
259,這筆天竺鼠車車還短耶,#FFFFFF,1,0,448,41597804,nico7214034
260,😯,#FFFFFF,1,0,450,40744524,ooxx1125
261,Isuzu b hsushshushs sixoxiu🫒😂🫒,#00FF91,1,0,450,41438775,s0714eddie
262,我朋友射了,#FF0026,1,1,455,44035504,Bro0201
263,兔子好鬧🤣🤣可愛,#FFFFFF,1,0,460,41452694,nina766335
264,鬆餅，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,463,43683890,annana566
265,人類：手機先吃,#FFFFFF,1,0,463,43683900,annana566
266,這食物這算不算SM,#FFFFFF,1,0,463,43683911,annana566
267,呀哈,#FFFFFF,1,0,464,43703781,schy90503
268,磅！,#FDE53D,1,2,465,37363800,chenwenxin
269,兄弟 想趴你,#FFFFFF,1,0,465,37912091,thffhrherh5
270,為什麼要拍？,#FFFFFF,1,0,465,40271978,Bananaaa
271,真的好療癒,#FF9496,2,0,466,42934909,yuyan5831
272,什麼可愛小卡通！根本美食節目嗎🧡🧡！,#FDE53D,2,0,466,44403861,wunuynuy
273,%,#FDE53D,1,0,467,37090648,xman123
274,好愛兔兔的精神狀態,#FFFFFF,1,0,468,42694476,mia7721
275,我是鬆餅ww,#FFFFFF,1,2,470,44806397,season1011
276,spanking,#FFFFFF,1,0,471,42004802,Newbiesama
277,我也想拍打鬆餅,#FF0026,2,0,474,37172402,qwe30315
278,烏薩奇,#FFFFFF,1,0,475,42552428,Jamei0111
279,2月9日,#FFFFFF,1,0,475,43843917,Mia1020214
280,好香啊,#FFFFFF,1,0,477,41817960,cjad20010827
281,bonk,#FFFFFF,1,0,478,37102731,sevenwgsss
282,%,#FFFFFF,1,0,480,37093635,BBB122328
283,好想吃,#FFFFFF,1,0,480,44529563,st5109185
284,哈哈哈,#FFFFFF,1,0,485,42454655,ayiimilk
285,好可愛,#FF9496,2,0,487,41465869,ching72325
286,謝謝巴哈,#FFFFFF,1,0,489,38014630,tiger5567
287,無敵可愛！！,#FFFFFF,1,0,489,38496585,vicky220
288,我切切切！,#FFFFFF,2,2,490,41385333,cecelia0407
289,超可愛ㄟ,#00C3FC,1,0,490,43594337,yqr1009
290,好好吃,#FFFFFF,1,0,495,38508093,Furabbit
291,快被可愛死了救命,#FFFFFF,2,0,495,40538581,shmily120433
292,打我屁股,#FF0026,2,1,496,39378644,BHSN000058k3
293,食物SM,#FDE53D,2,2,497,41032278,sunnyjiss6
294,過半警告,#FFFFFF,1,0,499,42532879,JIGUANG2010
295,不要玩食物,#FFFFFF,1,0,503,38219600,keroro9987
296,2024/11/11簽,#FFFFFF,1,0,503,42694481,mia7721
297,???????????????????????????,#FFFFFF,1,0,508,40801122,Angela213120
298,這是太熱再拍坐墊的感覺,#FFFFFF,1,0,510,41544582,yuri930603
299,%%%,#FFFFFF,1,0,515,40226976,rc20081109
300,感謝巴哈上架超可愛動畫！,#FFFFFF,1,0,517,37138683,amazingcaty
301,好想扁他們喔,#FFFFFF,1,0,518,41721397,alen940115
302,wow,#FFFFFF,1,0,519,44155003,timlin0808
303,😋,#FFFFFF,1,0,520,37869385,m18322415928
304,我想吃鬆餅🥞,#FFFFFF,1,0,520,38905017,n1073219
305,吃貨兔兔,#FFFFFF,1,0,520,44744627,rvvvv
306,好可愛,#FF9496,1,0,522,40667147,ariel0321
307,咖哇伊,#FFFFFF,1,0,524,37110884,Ohayouu
308,讓我想到打女友屁股,#FFFFFF,1,0,524,38239728,s7012806
309,好想吃,#FF0026,2,0,527,37172403,qwe30315
310,拍打洛可阿嬤,#FFFFFF,1,0,528,37209148,sholfen
311,看起來也太好吃,#FFFFFF,1,0,535,40271980,Bananaaa
312,好吃,#FFFFFF,1,0,535,40525529,monkeyyo001
313,可愛,#FFFFFF,1,0,539,44179853,g840483938
314,烏薩奇跟吉伊卡哇是酒肉朋友,#FFFFFF,1,0,540,42597757,loenyen73
315,不揍哈姆醬,#FFFFFF,1,0,545,37193574,mfabc
316,媽的媽的媽的,#FFFFFF,1,0,545,37326727,Kujila510710
317,靠吃好快,#FFFFFF,1,0,545,41891424,bubble0315
318,用鏟子切？小八：「對啊」我：「🤣🤣🤣」,#FFFFFF,1,0,545,44501406,aliny54689
319,早餐吃鬆餅,#FF0026,2,0,546,37172404,qwe30315
320,可愛呀,#FFFFFF,1,0,547,41337819,CATDOG2333
321,西,#00FF91,1,0,549,44529412,st5109185
322,兔子吃東西好可愛w,#FFFFFF,1,0,554,37088951,lonely250
323,好可愛的吉依寶寶 想一口吃掉,#FF9496,1,0,555,41701527,belleee
324,挖槽 暴風式吞入 也太可愛了吧,#FFFFFF,1,0,557,44056647,WWW924051
325,什麼奇怪生物,#00C3FC,2,0,559,41275706,aa91a0112
326,一個「啊」各種情緒,#FFFFFF,1,0,560,40362225,meng7917
327,可愛,#FFFFFF,1,0,561,38086388,Tony15246
328,好可愛😍,#FF9496,1,0,570,37114336,kylieisme094
329,🐸,#FFFFFF,1,0,570,38496590,vicky220
330,吉伊卡哇在幫動畫瘋賺錢嗎 免廣告的錢,#FFFFFF,1,0,575,41529918,emma061105
331,"有人跟我一樣晚上看嗎
看了快餓死",#FFFFFF,1,0,576,41165019,tsubakilee
332,想吃鬆餅了哈哈哈哈哈,#FF9496,1,1,580,41391053,patty902
333,一口塞你到底是兔子還是倉鼠,#FFFFFF,1,0,589,42666789,chin0924
334,摸骨摸骨,#FFFFFF,1,0,590,39745768,Griswold
335,體感一分鍾…,#FFFFFF,1,0,591,37106844,a28607
336,體,#FFFFFF,1,0,595,43754911,s1080025
337,喜歡看兔兔吃東西超可愛😍,#FFFFFF,1,0,596,44575045,peach9611
338,啊啊啊啊,#FFFFFF,1,0,600,41280684,fuyuyoru030
339,暴力吃鬆餅,#FFFFFF,1,0,601,41817962,cjad20010827
340,啊啊啊那個超可愛是怎樣啦,#FFFFFF,2,0,605,38403305,smoonzz
341,咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿,#FFFFFF,1,0,605,43519317,joy613536
342,買了買了 月租方案為了看這個XDD,#FFFFFF,1,0,606,37340484,ann84
343,?????????,#FFFFFF,1,0,608,42746830,abc21086999
344,30秒的廣告：）,#FFFFFF,1,0,610,37263626,joanna0321
345,客愛愛,#FFFFFF,1,0,618,44179854,g840483938
346,不想變只要主流就說討厭，來嘗試了解這三小,#FFFFFF,1,0,619,41927849,asure8888
347,好可愛喔,#FFFFFF,1,0,621,42023149,tiff6323
348,這到底是三小,#FF0026,1,0,625,42453288,allencgl1
349,太快就1集了吧,#FFFFFF,1,0,626,42893301,dd8842245
350,yuuyuyu,#FFFFFF,1,1,631,43103312,chenyin09
351,想像氷川日菜（CV小澤亞里）在幕後鬼叫,#FFFFFF,1,0,634,37110322,ol0SOW0lo
352,晚安,#FFFFFF,1,0,637,44440673,jimmy0416
353,什麼結束了！？我到底看了什麼？？,#0036FA,2,2,641,44139947,SUDU9527
354,趴！沒了,#FFFFFF,1,0,642,41322892,z9ha45pt26xo
355,"期待加入小八的演唱:""D",#FFFFFF,1,0,643,37090118,kodgreen59
356,冷知識：已結束，而且片尾很長<(˙▽˙<),#FFFFFF,1,2,643,43683942,annana566
357,蛤,#FFFFFF,1,0,645,40059278,lina1050091
358,好可愛喔～,#FF9496,1,1,645,40451028,doggypig2019
359,❤❤❤,#FFFFFF,1,0,648,42335915,yoyohsu1005
360,小知識:兔子外的兩個主要角色都是小孩配的,#FFFFFF,1,0,649,37089016,pkpkpk86520
361,超讚ㄉ！！！！！！！,#FFFFFF,1,0,649,38496591,vicky220
362,不是體感一分鐘，是真的只有一分鐘,#FFFFFF,1,0,650,37167002,LiaoWenhua
363,沒了？？？？？？？？？？？？？？？？？,#FF0026,2,1,650,39378653,BHSN000058k3
364,？？ㄡㄡㄡㄡ,#A7FE39,1,0,650,42920226,evaasgg128
365,音乐超好听也超可爱~~~,#FF9496,1,0,653,38517836,linliyan6008
366,太廢了吧？,#0036FA,1,0,655,42555322,Lucy08070807
367,(*¯︶¯*),#FFFFFF,1,0,657,39156779,jnini107040
368,時間小偷,#FFFFFF,1,0,660,37089286,nitama487
369,這到底是三小,#FF0026,2,2,663,42532176,rosa0812
370,體感90秒,#FFFFFF,1,0,665,37188419,chi525051
371,沒了就這樣靠腰啊,#FFFFFF,1,0,665,41819554,Tyhbnvfg
372,與,#FFFFFF,1,0,666,43967797,TONKEN
373,精神時光屋,#FFFFFF,1,0,667,37102737,sevenwgsss
374,期待小八出場！,#FFFFFF,1,0,667,37138685,amazingcaty
375,蛤,#FFFFFF,1,0,667,40706383,tiyu1118
376,體感一分鐘,#FFFFFF,1,0,671,37175957,Pooooooooooo
377,不看聲優表死都認不出兔子是小澤亞李,#FFFFFF,1,0,672,37106452,Tomachen
378,檔案的小瑪莉cv,#FFFFFF,1,0,672,37391086,a4810159
379,?,#FFFFFF,1,0,672,39260415,N4070022
380,要撐到13-14集才開始有劇情喔~~~,#FFFFFF,1,0,672,44049554,leteargerbob
381,影片90秒 廣告30秒?????,#FFFFFF,1,0,673,44744720,a4391030
382,一分鐘這麼短,#FFFFFF,1,0,675,41529899,emma061105
383,體感10秒鐘,#FFFFFF,1,0,677,44115716,geoguessr
384,日本,#00C3FC,1,0,678,44808709,amywei03
385,原來一開始沒有小八唱歌,#FFFFFF,1,0,680,37090326,aasw91330
386,蛤,#FFFFFF,1,0,680,37512346,sXD324
387,XDD,#FFFFFF,1,0,681,38837447,etal
388,沒了？？？🖕🖕🖕🖕🖕,#FF9625,1,0,683,43195457,Lisa2012821
389,本來就一分鐘是在體感三小,#FFFFFF,1,0,685,37255433,loveyou78912
390,什麼？沒了？,#FFFFFF,1,0,685,38837432,etal
391,蛤,#FFFFFF,1,0,685,41884099,FATEMO
